chunk,source_idx,source_name,source_brand,source_url,target_name,target_brand,target_url,expected_url,confidence,reason,gt_status
1,7,อะไหล่ลูกกลิ้งทาสีขนขาวแถบเหลือง GIANT KINGKONG รุ่น PR-004YSC ขนาด 4 นิ้ว สีขาว,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60304673,อะไหล่ขนลูกกลิ้ง 4 นิ้ว C30104 ขาว,AT.INDY,https://www.boonthavorn.com/at-indy-115259,https://www.boonthavorn.com/indy-1140736,95,The candidate is a painting roller accessory refill with matching size (4 inches) and type (REFILL).,GT_MISSING
1,12,โคมดาวน์ไลท์หน้ากลม 6 นิ้ว LED 15W Warm White LUZINO รุ่น PN-JYX0101-15W/WW สีขาว,LUZINO,https://www.thaiwatsadu.com/th/product/%E0%B9%82%E0%B8%84%E0%B8%A1%E0%B8%94%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B9%84%E0%B8%A5%E0%B8%97%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%A5%E0%B8%A1-6-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-LED-15W-Warm-White-LUZINO-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-PN-JYX0101-15W%7CWW-%E0%B8%AA%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B8%A7-60308455,ดาวน์ไลท์ LED GL-DL-W15-PR 6500K DL,MAX LIGHT,https://www.boonthavorn.com/max-light-1144016,,60,"Candidate 1 is a downlight from the preferred brand MAX LIGHT, but has 0% spec match.",NO_GT
2,16,โคมไฟผนังภายนอกอะลูมิเนียม E27x1 LUZINO รุ่น 2763-E27 สีดำ - ใส,LUZINO,https://www.thaiwatsadu.com/th/sku/60406672,ไฟผนัง O-001 E27x1 MAX 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249472,https://www.boonthavorn.com/max-light-1060790,95,"The candidate 'ไฟผนัง O-001 E27x1 MAX 60W IP44' is a wall lamp, from the preferred brand 'MAX LIGHT' (#1), and has a high spec match of 71% with identical socket and dimensions.",INCORRECT
2,19,ฟิล์มยืดพันพาเลท 15 ไมครอน GIANT KINGKONG รุ่น MH50-300-15 สีใส,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60260200,ฟิล์มพันพาเลท 50cmx300M,BIH,https://www.boonthavorn.com/bih-1072224,https://www.boonthavorn.com/bih-1072224,75,The candidate has the exact product type 'pallet wrap film' which is a synonym for 'stretch film' and shares length and dimension specs. It is also from a preferred brand (BIH).,CORRECT
2,20,โคมไฟผนังภายนอกอลูมิเนียม E27x1 LUZINO รุ่น PHOEBE 2197/1(GY) สีเทา,LUZINO,https://www.thaiwatsadu.com/th/sku/60257199,ไฟผนัง O-001 E27x1 MAX 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249472,https://www.boonthavorn.com/max-light-1257089,95,Candidate 0 is a preferred brand (MAX LIGHT #1) with a high SpecMatch (71%) and exact product type match (wall lamp).,GT_MISSING
2,21,โคมดาวน์ไลท์หน้ากลม 6 นิ้ว LED 15W Daylight LUZINO รุ่น PN-JYX0101-15W/DL สีขาว,LUZINO,https://www.thaiwatsadu.com/th/product/%E0%B9%82%E0%B8%84%E0%B8%A1%E0%B8%94%E0%B8%B2%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B9%84%E0%B8%A5%E0%B8%97%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%A5%E0%B8%A1-6-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-LED-15W-Daylight-LUZINO-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-PN-JYX0101-15W%7CDL-%E0%B8%AA%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B8%A7-60308454,ดาวน์ไลท์ LED GL-DL-W15-PR 6500K DL,MAX LIGHT,https://www.boonthavorn.com/max-light-1144016,,70,"Candidate is a downlight, the correct product type, and is from the highly preferred brand MAX LIGHT, with DAYLIGHT color temperature matching the source.",NO_GT
2,23,โคมไฟเสาสนาม E27x1 LUZINO รุ่น RH1876D(BK) สีดำ,LUZINO,https://www.thaiwatsadu.com/th/sku/60322158,ไฟสนามเตี้ย YK-005 E27x1 Max 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249477,https://www.boonthavorn.com/max-light-1249477,60,"The candidate has the exact same socket type (E27x1) and dimensions as the source, is from the highly preferred brand MAX LIGHT, and its product 'yard light' is a close subtype to the source's 'post lamp'.",CORRECT
3,30,โคมไฟแขวนแก้ว Mamo G E27x3 LUZINO รุ่น HH150 สีดำ,LUZINO,https://www.thaiwatsadu.com/th/sku/60365506,ไฟแขวน MD54158C-3A BK *ดำ E27x3 40W,LIGHTMOST,https://www.boonthavorn.com/lightmost-1208338,https://www.boonthavorn.com/lightmost-1208338,95,"Candidate 0 is a pendant light with the highest spec match (36%) to the source, matching dimensions and socket specifications, and is from a preferred brand (LIGHTMOST).",CORRECT
3,31,โคมไฟผนังภายนอกอะลูมิเนียม E27x1 LUZINO รุ่น GD-AWY31 สีดำ - ใส,LUZINO,https://www.thaiwatsadu.com/th/sku/60402136,ไฟผนัง O-001 E27x1 MAX 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249472,https://www.boonthavorn.com/yj-2180a-1-e27x1,85,"Candidate 0 is an outdoor wall lamp with a high spec match to the source, and is from a preferred brand (MAX LIGHT).",GT_MISSING
4,45,โคมไฟผนังภายนอกอะลูมิเนียม E27x1 LUZINO รุ่น GD-AWY33 สีดำ - ใส,LUZINO,https://www.thaiwatsadu.com/th/sku/60402138,ไฟผนัง O-001 E27x1 MAX 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249472,https://www.boonthavorn.com/yj-2180a-1-e27x1,95,Highest SpecMatch% in a preferred brand and exact product type match (wall lamp).,GT_MISSING
4,46,บันไดอะลูมิเนียมอเนกประสงค์พับได้ GIANT KINGKONG PRO รุ่น HCSS-01 ขนาด 4 x 2 ขั้น สีเงิน,GIANT KINGKONG PRO,https://www.thaiwatsadu.com/th/sku/60345787,บันไดอลูมิเนียม พับได้ 8ขั้น ZHTL402B-08,NL HOME,https://www.boonthavorn.com/nl-home-1104357,https://www.boonthavorn.com/nl-home-1104357,70,"The candidate is also a foldable aluminum ladder from a preferred brand, but the number of steps differs significantly (8 vs 2).",CORRECT
4,50,ลูกบิดห้องทั่วไปหัวกลมจานใหญ่สเตนเลส GIANT KINGKONG รุ่น 587ET-SS ขนาด 75 มม. สีเงิน,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60318383,ลูกบิดห้องทั่วไป489.93.110*สีสแตนเลส,HAFELE,https://www.boonthavorn.com/hafele-1074605,https://www.boonthavorn.com/hafele-1074605,95,"The candidate is a door knob for general rooms, matching the critical product type and 'knob_room' spec of the source, and is from a preferred brand (HAFELE).",CORRECT
4,51,สายยางเด้ง 5/8 นิ้ว FONTE ยาว 10 เมตร,FONTE,https://www.thaiwatsadu.com/th/sku/60338030,สายยางเด้ง PVC 5/8*10 เมตร *สีฟ้า,SAKURA,https://www.boonthavorn.com/sakura-1084347,https://www.boonthavorn.com/sakura-1084347,70,"The candidate is a SAKURA branded garden hose with matching length and a good spec match percentage, falling within preferred brands.",CORRECT
4,52,โคมแทรคไลท์เข้าราง E27x1 PAR30 LUZINO รุ่น LP03-BK สีดำ,LUZINO,https://www.thaiwatsadu.com/th/sku/60320101,แท็คไลท์ YD-WA8004 ดำ E27x1,MAX LIGHT,https://www.boonthavorn.com/max-light-1101335,https://www.boonthavorn.com/max-light-1101335,75,"Candidate 0 is the same product type (track light) and from a PREFERRED brand (MAX LIGHT), with a good SpecMatch% (57%) on critical specs like dimensions and socket type.",CORRECT
4,55,บันไดอะลูมิเนียมพร้อมถาดแบบมีด้ามจับ GIANT KINGKONG PRO รุ่น LJ105DLT2 ขนาด 5 ขั้น สีเงิน,GIANT KINGKONG PRO,https://www.thaiwatsadu.com/th/sku/60255579,บันไดอลูมิเนียม 5 ขั้น ZHTL005,BF,https://www.boonthavorn.com/bf-1055169,https://www.boonthavorn.com/bf-1055169,85,"Candidate is the same product type (ladder) with identical step count (5 steps) and is from a preferred brand (BF). The spec match is 66%, which is the highest among relevant candidates.",CORRECT
4,58,ท่อย่นอเนกประสงค์ ZAGIO ความยาว 180 ซม. สีเทา,ZAGIO,https://www.thaiwatsadu.com/th/sku/60272515,ท่อย่นเอนกประสงค์ 180 ซม.มีข้อต่อ สีเทา,ANYHOME,https://www.boonthavorn.com/anyhome-1160885,https://www.boonthavorn.com/anyhome-1160885,100,"Candidate 0 is the exact same product type and length as the source, is a preferred brand (ANYHOME), and has a 100% spec match.",CORRECT
5,60,สายยางเด้ง 5/8 นิ้ว FONTE ยาว 20 เมตร,FONTE,https://www.thaiwatsadu.com/th/sku/60314436,สายยางเด้ง 5/8 x 20 เมตร *น้ำเงิน,ANYHOME,https://www.boonthavorn.com/anyhome-1111122,https://www.boonthavorn.com/anyhome-1111122,85,"Candidate 0 is a preferred brand (ANYHOME) and has a good spec match for length and product type, even though diameter is not explicitly listed.",CORRECT
5,62,โคมไฟผนังภายนอกอะลูมิเนียม E27x1 LUZINO รุ่น 2461-E27 สีดำ - ใส,LUZINO,https://www.thaiwatsadu.com/th/sku/60406664,ไฟผนัง O-001 E27x1 MAX 60W IP44,MAX LIGHT,https://www.boonthavorn.com/max-light-1249472,https://www.boonthavorn.com/max-light-1202280,90,"Candidate 0 is a MAX LIGHT (PREFERRED#1 brand) outdoor wall lamp with 71% spec match including exact dimensions and socket, making it the closest equivalent product.",GT_MISSING
